Course Name,Course code,School,Admission type,Cut off Point,Course duration,Field of study,Certification offered,Website-href
Digital Design and Development,R47,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",13-24,3 years,Information and Digital Technologies,Diploma in Digital Design and Development,https://www.rp.edu.sg/soi/full-time-diplomas/details/diploma-in-digital-design-and-development
Design for User Experience,R36,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",16-20,3 years,Media and Design,Diploma in Design for User Experience,https://www.rp.edu.sg/STA/full-time-diplomas/Details/r36
Design for Games and Gamification,R35,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Dec-17,3 years,Media and Design,Diploma in Design for Games and Gamification,https://www.rp.edu.sg/sta/full-time-diplomas/Details/diploma-in-design-for-games-and-gamification
Design,N12,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Jun-15,3 years,Media and Design,This course offers the following tracks or specialisation:,https://www.np.edu.sg/de/Pages/des.aspx
Data Science,N81,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",5-Nov,3 years,Information and Digital Technologies,Diploma in Data Science,https://www.np.edu.sg/ict/Pages/ds.aspx
Cybersecurity and Digital Forensics,T62,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",4-Dec,3 years,Information and Digital Technologies,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/iit/cybersecurity-and-digital-forensics
Cybersecurity and Digital Forensics,N94,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",5-Aug,3 years,Information and Digital Technologies,Diploma in Cybersecurity and Digital Forensics,https://www.np.edu.sg/ict/Pages/csf.aspx
Cybersecurity and Digital Forensics,C54,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",4-Aug,3 years,Information and Digital Technologies,This course offers the following tracks or specialisation:,https://www.nyp.edu.sg/schools/sit/full-time-courses/cybersecurity-and-digital-forensics.html
Customer Experience Management with Business,R34,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Dec-21,3 years,Business and Management,Diploma in Customer Experience Management with Business,https://www.rp.edu.sg/soh/full-time-diplomas/details/r34
Culinary and Catering Management,T18,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",May-17,3 years,Business and Management,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/bus/culinary-and-catering-management
Consumer Behaviour and Research,R48,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",13-18,3 years,Business and Management,Diploma in Consumer Behaviour and Research,https://www.rp.edu.sg/smc/full-time-diplomas/Details/r48
Computer Engineering,T13,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",May-13,3 years,Engineering,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/eng/computer-engineering
Computer Engineering,S53,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",3-Dec,3 years,Engineering,This course offers the following tracks or specialisation:,https://www.sp.edu.sg/engineering-cluster/eee/courses/full-time-diplomas/computer-engineering
Community Development,N11,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Mar-13,3 years,Humanities,Diploma in Community Development,https://www.np.edu.sg/hms/Pages/cdt.aspx
Communications and Media Management,T40,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",Mar-13,3 years,Business and Management,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/bus/communications-and-media-management
Communication Design,T59,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",Jun-15,3 years,Media and Design,Diploma in Communication Design,https://www.tp.edu.sg/schools/des/communication-design
Communication & Motion Design,C30,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",-,3 years,Media and Design,This course offers the following tracks or specialisation:,https://www.nyp.edu.sg/schools/sdm/full-time-courses/communication-and-motion-design.html
Common Sports and Health Programme,R63,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Nov-26,3 years,Health Sciences,Depends on the diploma course you choose to major in,https://www.rp.edu.sg/shl/full-time-diplomas/Details/common-sports-and-health-programme
Common Science Programme,T70,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",-,3 years,Applied Sciences,Depends on the diploma course you choose to major in,https://www.tp.edu.sg/schools-and-courses/students/schools/asc/common-science-programme.html
Common Science Programme,S28,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",-,3 years,Applied Sciences,Depends on the diploma course you choose to major in,https://www.sp.edu.sg/cls/courses/full-time-diplomas/common-science-programme
Common Science Programme,R59,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Jul-18,3 years,Applied Sciences,Depends on the diploma course you choose to major in,https://www.rp.edu.sg/SAS/full-time-diplomas/Details/common-science-programme
Common Science Programme,N15,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",-,3 years,Applied Sciences,Depends on the diploma course you choose to major in,https://www.np.edu.sg/lsct/Pages/csp.aspx
Common Science Programme,C27,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",-,3 years,Applied Sciences,Depends on the diploma course you choose to major in,https://www.nyp.edu.sg/schools/sas/full-time-courses/common-science-programme.html
Common Media Programme,N14,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",-,3 years,Media and Design,Depends on the diploma course you choose to major in,https://www.np.edu.sg/fms/Pages/cmp.aspx
Common ICT Programme,T63,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",Apr-16,3 years,Information and Digital Technologies,Depends on the diploma course you choose to major in,https://www.tp.edu.sg/schools/iit/common-ict-programme
Common ICT Programme,S32,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Mar-13,3 years,Information and Digital Technologies,Depends on the diploma course you choose to major in,https://www.sp.edu.sg/soc/courses/full-time-diplomas/common-infocomm-technology-programme
Common ICT Programme,R58,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",16-26,3 years,Information and Digital Technologies,Depends on the diploma course you choose to major in,https://www.rp.edu.sg/SOI/full-time-diplomas/Details/common-ict-programme
Common ICT Programme,N98,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",May-13,3 years,Information and Digital Technologies,Depends on the diploma course you choose to major in,https://www.np.edu.sg/ict/Pages/cictp.aspx
Common ICT Programme,C36,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Apr-14,3 years,Information and Digital Technologies,Depends on the diploma course you choose to major in,https://www.nyp.edu.sg/schools/sit/full-time-courses/common-ict-programme.html
Common Engineering Programme,T56,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",Jul-22,3 years,Engineering,Depends on the diploma course you choose to major in,https://www.tp.edu.sg/schools/eng/common-engineering-programme
Common Engineering Programme,S40,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Jul-17,3 years,Engineering,Depends on the diploma course you choose to major in,https://www.sp.edu.sg/engineering-cluster/mae/courses/common-engineering-programme
Common Engineering Programme,R42,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",18-26,3 years,Engineering,Depends on the diploma course you are posted to after Semester 1 of your first year.,https://www.rp.edu.sg/SEG/full-time-diplomas/Details/r42
Common Engineering Programme,N71,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Jun-26,3 years,Engineering,Depends on the diploma course you choose to major in,https://www.np.edu.sg/soe/Pages/cep.aspx
Common Engineering Programme,C42,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",May-24,3 years,Engineering,This course offers the following tracks or specialisation:,https://www.nyp.edu.sg/schools/seg/full-time-courses/common-engineering-programme.html
Common Design Programme,T71,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",-,3 years,Media and Design,Depends on the diploma course you choose to major in,https://www.tp.edu.sg/schools-and-courses/students/schools/des/common-design-programme.html
Common Design & Media Programme,C28,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",-,3 years,Media and Design,Depends on the diploma course you choose to major in,https://www.nyp.edu.sg/schools/sdm/full-time-courses/common-media-design-programme.html
Common Business Programme,T01,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",May-15,3 years,Business and Management,Depends on the diploma course you choose to major in,https://www.tp.edu.sg/schools/bus/common-business-programme
Common Business Programme,S31,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",4-Dec,3 years,Business and Management,Depends on the diploma course you choose to major in,https://www.sp.edu.sg/sb/courses/full-time-diplomas/common-business-programme
Common Business Programme,R57,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",13-26,3 years,Business and Management,Depends on the diploma course you choose to major in,https://www.rp.edu.sg/smc/full-time-diplomas/Details/r57
Common Business Programme,N97,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",5-Dec,3 years,Business and Management,Depends on the diploma course you choose to major in,https://www.np.edu.sg/ba/Pages/cbp.aspx
Common Business Programme,C34,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",May-15,3 years,Business and Management,Depends on the diploma course you choose to major in,https://www.nyp.edu.sg/schools/sbm/full-time-courses/common-business-programme.html
"Common Arts, Design and Media Programme",R65,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",-,3 years,Media and Design,Depends on the diploma course you choose to major in,https://www.rp.edu.sg/sta/full-time-course
Civil Engineering,S68,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Jul-20,3 years,Built Environment,Diploma in Civil Engineering,https://www.sp.edu.sg/abe/courses/full-time-diplomas/civil-engineering
Chinese Studies,N70,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Jul-13,3 years,Humanities,This course offers the following tracks or specialisation:,https://www.np.edu.sg/hms/Pages/chs.aspx
Chinese Media and Communication,N88,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Jun-15,3 years,Media and Design,Diploma in Chinese Media and Communication,https://www.np.edu.sg/hms/Pages/cmc.aspx
Chemical and Pharmaceutical Technology,C73,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Aug-14,3 years,Applied Sciences,Diploma in Chemical and Pharmaceutical Technology,https://www.nyp.edu.sg/schools/sas/full-time-courses/chemical-and-pharmaceutical-technology.html
Chemical and Biomolecular Engineering,N56,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",6-Dec,3 years,Applied Sciences,Diploma in Chemical and Biomolecular Engineering,https://www.np.edu.sg/lsct/Pages/cbe.aspx
Chemical Engineering,T33,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",Jun-15,3 years,Applied Sciences,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/asc/chemical-engineering
Chemical Engineering,S70,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",May-13,3 years,Applied Sciences,Diploma in Chemical Engineering,https://www.sp.edu.sg/cls/courses/full-time-diplomas/chemical-engineering
Business and Financial Technology,C35,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Oct-15,3 years,Business and Management,Diploma in Business and Financial Technology,https://www.nyp.edu.sg/schools/sit/full-time-courses/business-and-financial-technology.html
Business Studies,N45,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",3-Aug,3 years,Business and Management,This course offers the following tracks or specialisation:,https://www.np.edu.sg/ba/Pages/bs.aspx
Business Process and Systems Engineering,T43,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",Aug-18,3 years,Business and Management,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/eng/business-process-and-systems-engineering
Business Management,C94,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Jun-16,3 years,Business and Management,This course offers the following tracks or specialisation:,https://www.nyp.edu.sg/schools/sbm/full-time-courses/business-management.html
Business Information Systems,R13,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",15-26,3 years,Information and Digital Technologies,Diploma in Business Information Systems,https://www.rp.edu.sg/soi/full-time-diplomas/details/diploma-in-business-information-systems
Business Administration,S71,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",4-Dec,3 years,Business and Management,This course offers the following tracks or specialisation:,https://www.sp.edu.sg/sb/courses/full-time-diplomas/business-administration
Business,T10,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",May-14,3 years,Business and Management,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/bus/business
Business,R60,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",15-21,3 years,Business and Management,This course offers the following tracks or specialisation:,https://www.rp.edu.sg/smc/full-time-diplomas/details/diploma-in-business
Biotechnology,R16,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Oct-17,3 years,Applied Sciences,This course offers the following tracks or specialisation:,https://www.rp.edu.sg/SAS/full-time-diplomas/Details/r16
Biomedical Science,S98,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",3-Jul,3 years,Applied Sciences,This course offers the following tracks or specialisation:,https://www.sp.edu.sg/cls/courses/full-time-diplomas/biomedical-science
Biomedical Science,R14,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",8-Nov,3 years,Applied Sciences,This course offers the following tracks or specialisation:,https://www.rp.edu.sg/SAS/full-time-diplomas/Details/r14
Biomedical Science,N59,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",3-Aug,3 years,Applied Sciences,Diploma in Biomedical Science,https://www.np.edu.sg/lsct/Pages/bms.aspx
Biomedical Engineering,T38,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",Jun-13,3 years,Applied Sciences,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/eng/biomedical-engineering
Biomedical Engineering,N60,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",7-Nov,3 years,Engineering,Diploma in Biomedical Engineering,https://www.np.edu.sg/soe/Pages/bme.aspx
Biomedical Engineering,C71,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Aug-13,3 years,Engineering,This course offers the following tracks or specialisation:,https://www.nyp.edu.sg/schools/seg/full-time-courses/biomedical-engineering.html
Biologics and Process Technology,C49,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",8-Nov,3 years,Applied Sciences,Diploma in Biologics and Process Technology,https://www.nyp.edu.sg/schools/sas/full-time-courses/biologics-and-process-technology.html
Big Data and Analytics,T60,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",6-Dec,3 years,Information and Digital Technologies,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/iit/big-data-and-analytics
Banking and Finance,S76,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",6-Dec,3 years,Business and Management,Diploma in Banking and Finance,https://www.sp.edu.sg/sb/courses/full-time-diplomas/banking-finance
Banking and Finance,N53,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",5-Nov,3 years,Business and Management,This course offers the following tracks or specialisation:,https://www.np.edu.sg/ba/Pages/bf.aspx
Banking and Finance,C96,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Aug-13,3 years,Business and Management,Diploma in Banking and Finance,https://www.nyp.edu.sg/schools/sbm/full-time-courses/banking-and-finance.html
Aviation Management,T04,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",Jun-14,3 years,Business and Management,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/eng/aviation-management
Aviation Management,R39,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",16-25,3 years,Business and Management,Diploma in Aviation Management,https://www.rp.edu.sg/SEG/full-time-diplomas/Details/r39
Automation and Mechatronic Systems,N50,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Jun-19,3 years,Engineering,Diploma in Automation and Mechatronic Systems,https://www.np.edu.sg/soe/Pages/ams.aspx
Arts and Theatre Management,R25,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Jun-20,3 years,Media and Design,Diploma in Arts and Theatre Management,https://www.rp.edu.sg/STA/full-time-diplomas/Details/r25
Arts Business Management,N91,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Jun-13,3 years,Business and Management,Diploma in Arts Business Management,https://www.np.edu.sg/hms/Pages/abm.aspx
Architecture,S66,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",May-13,3 years,Built Environment,Diploma in Architecture,https://www.sp.edu.sg/abe/courses/full-time-diplomas/architecture
Architecture,C38,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",May-14,3 years,Built Environment,Diploma in Architecture,https://www.nyp.edu.sg/schools/sdm/full-time-courses/architecture.html
Architectural Technology and Building Services,T29,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",Jun-16,3 years,Built Environment,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/eng/architectural-technology-and-building-services
Applied Chemistry,S64,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",5-Sep,3 years,Applied Sciences,This course offers the following tracks or specialisation:,https://www.sp.edu.sg/cls/courses/full-time-diplomas/applied-chemistry
Applied Chemistry,R17,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Nov-17,3 years,Applied Sciences,This course offers the following tracks or specialisation:,https://www.rp.edu.sg/SAS/full-time-diplomas/Details/r17
Applied Chemistry,C45,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",5-Sep,3 years,Applied Sciences,Diploma in Applied Chemistry,https://www.nyp.edu.sg/schools/sas/full-time-courses/applied-chemistry.html
Applied Artificial Intelligence,T69,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",5-Dec,3 years,Information and Digital Technologies,Diploma in Applied Artificial Intelligence,https://www.tp.edu.sg/schools/iit/applied-artificial-intelligence
Applied AI and Analytics,S30,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",3-Aug,3 years,Information and Digital Technologies,Diploma in Applied AI and Analytics,https://www.sp.edu.sg/soc/courses/full-time-diplomas/data-analytics-and-artificial-intelligence-(ai)
Applied AI and Analytics,C43,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",5-Nov,3 years,Information and Digital Technologies,Diploma in Applied AI and Analytics,https://www.nyp.edu.sg/schools/sit/full-time-courses/applied-ai-and-analytics.html
Apparel Design and Merchandising,T20,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",6-Nov,3 years,Media and Design,Diploma in Apparel Design and Merchandising,https://www.tp.edu.sg/schools/des/apparel-design-and-merchandising
"Animation, Games & Visual Effects",C29,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",-,3 years,Media and Design,This course offers the following tracks or specialisation:,https://www.nyp.edu.sg/schools/sdm/full-time-courses/animation-games-visual-effects.html
Aerospace Systems and Management,C52,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",15-18,3 years,Engineering,Diploma in Aerospace Systems and Management,https://www.nyp.edu.sg/schools/seg/full-time-courses/aerospace-systems-and-management.html
Aerospace Engineering,T51,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",Apr-16,3 years,Engineering,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/eng/aerospace-engineering
Aerospace Engineering,R40,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",17-26,3 years,Engineering,Diploma in Aerospace Engineering,https://www.rp.edu.sg/SEG/full-time-diplomas/Details/r40
Aerospace Engineering,N65,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",May-19,3 years,Engineering,This course offers the following tracks or specialisation:,https://www.np.edu.sg/soe/Pages/aeg.aspx
Aerospace Electronics,T50,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",Aug-18,3 years,Engineering,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/eng/aerospace-electronics
Aerospace Electronics,S90,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Jul-13,3 years,Engineering,Diploma in Aerospace Electronics,https://www.sp.edu.sg/engineering-cluster/eee/courses/full-time-diplomas/aerospace-electronics
Aeronautical and Aerospace Technology,C51,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Sep-16,3 years,Engineering,This course offers the following tracks or specialisation:,https://www.nyp.edu.sg/schools/seg/full-time-courses/aeronautical-and-aerospace-technology.html
Aeronautical Engineering,S88,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",May-17,3 years,Engineering,Diploma in Aeronautical Engineering,https://www.sp.edu.sg/engineering-cluster/mae/courses/full-time-diplomas/aeronautical-engineering-
Advanced and Digital Manufacturing,C62,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Oct-24,3 years,Engineering,This course offers the following tracks or specialisation:,https://www.nyp.edu.sg/schools/seg/full-time-courses/advanced-and-digital-manufacturing.html
Accountancy and Finance,T02,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",Apr-13,3 years,Business and Management,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/bus/accountancy-and-finance
Accountancy and Finance,C98,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",6-Dec,3 years,Business and Management,Diploma in Accountancy and Finance,https://www.nyp.edu.sg/schools/sbm/full-time-courses/accountancy-and-finance.html
Accountancy,S75,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",3-Dec,3 years,Business and Management,Diploma in Accountancy,https://www.sp.edu.sg/sb/courses/full-time-diplomas/DAC
Accountancy,N51,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",4-Nov,3 years,Business and Management,This course offers the following tracks or specialisation:,https://www.np.edu.sg/ba/Pages/acc.aspx
AI and Data Engineering,C31,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",4-Sep,3 years,Engineering,Diploma in AI and Data Engineering,https://www.nyp.edu.sg/schools/seg/full-time-courses/ai-and-data-engineering.html
