Course Name,Course code,School,Admission type,Cut off Point,Course duration,Field of study,Certification offered,Website
Accountancy,S75,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",3-12,3 years,Business and Management,Diploma in Accountancy,https://www.sp.edu.sg/sb/courses/full-time-diplomas/DAC
Accountancy,N51,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",4-11,3 years,Business and Management,This course offers the following tracks or specialisation:,https://www.np.edu.sg/ba/Pages/acc.aspx
Accountancy and Finance,T02,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",4-13,3 years,Business and Management,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/bus/accountancy-and-finance
Accountancy and Finance,C98,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",6-12,3 years,Business and Management,Diploma in Accountancy and Finance,https://www.nyp.edu.sg/schools/sbm/full-time-courses/accountancy-and-finance.html
Advanced and Digital Manufacturing,C62,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",10-24,3 years,Engineering,This course offers the following tracks or specialisation:,https://www.nyp.edu.sg/schools/seg/full-time-courses/advanced-and-digital-manufacturing.html
Aeronautical and Aerospace Technology,C51,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",9-16,3 years,Engineering,This course offers the following tracks or specialisation:,https://www.nyp.edu.sg/schools/seg/full-time-courses/aeronautical-and-aerospace-technology.html
Aeronautical Engineering,S88,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",5-17,3 years,Engineering,Diploma in Aeronautical Engineering,https://www.sp.edu.sg/engineering-cluster/mae/courses/full-time-diplomas/aeronautical-engineering-
Aerospace Electronics,T50,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",8-18,3 years,Engineering,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/eng/aerospace-electronics
Aerospace Electronics,S90,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",7-13,3 years,Engineering,Diploma in Aerospace Electronics,https://www.sp.edu.sg/engineering-cluster/eee/courses/full-time-diplomas/aerospace-electronics
Aerospace Engineering,T51,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",4-16,3 years,Engineering,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/eng/aerospace-engineering
Aerospace Engineering,R40,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",17-26,3 years,Engineering,Diploma in Aerospace Engineering,https://www.rp.edu.sg/SEG/full-time-diplomas/Details/r40
Aerospace Engineering,N65,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",5-19,3 years,Engineering,This course offers the following tracks or specialisation:,https://www.np.edu.sg/soe/Pages/aeg.aspx
Aerospace Systems and Management,C52,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",15-18,3 years,Engineering,Diploma in Aerospace Systems and Management,https://www.nyp.edu.sg/schools/seg/full-time-courses/aerospace-systems-and-management.html
AI and Data Engineering,C31,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",4-9,3 years,Engineering,Diploma in AI and Data Engineering,https://www.nyp.edu.sg/schools/seg/full-time-courses/ai-and-data-engineering.html
"Animation, Games & Visual Effects",C29,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",-,3 years,Media and Design,This course offers the following tracks or specialisation:,https://www.nyp.edu.sg/schools/sdm/full-time-courses/animation-games-visual-effects.html
Apparel Design and Merchandising,T20,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",6-11,3 years,Media and Design,Diploma in Apparel Design and Merchandising,https://www.tp.edu.sg/schools/des/apparel-design-and-merchandising
Applied AI and Analytics,S30,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",3-8,3 years,Information and Digital Technologies,Diploma in Applied AI and Analytics,https://www.sp.edu.sg/soc/courses/full-time-diplomas/data-analytics-and-artificial-intelligence-(ai)
Applied AI and Analytics,C43,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",5-11,3 years,Information and Digital Technologies,Diploma in Applied AI and Analytics,https://www.nyp.edu.sg/schools/sit/full-time-courses/applied-ai-and-analytics.html
Applied Artificial Intelligence,T69,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",5-12,3 years,Information and Digital Technologies,Diploma in Applied Artificial Intelligence,https://www.tp.edu.sg/schools/iit/applied-artificial-intelligence
Applied Chemistry,S64,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",5-9,3 years,Applied Sciences,This course offers the following tracks or specialisation:,https://www.sp.edu.sg/cls/courses/full-time-diplomas/applied-chemistry
Applied Chemistry,R17,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",11-17,3 years,Applied Sciences,This course offers the following tracks or specialisation:,https://www.rp.edu.sg/SAS/full-time-diplomas/Details/r17
Applied Chemistry,C45,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",5-9,3 years,Applied Sciences,Diploma in Applied Chemistry,https://www.nyp.edu.sg/schools/sas/full-time-courses/applied-chemistry.html
Architectural Technology and Building Services,T29,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",6-16,3 years,Built Environment,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/eng/architectural-technology-and-building-services
Architecture,S66,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",5-13,3 years,Built Environment,Diploma in Architecture,https://www.sp.edu.sg/abe/courses/full-time-diplomas/architecture
Architecture,C38,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",5-14,3 years,Built Environment,Diploma in Architecture,https://www.nyp.edu.sg/schools/sdm/full-time-courses/architecture.html
Arts and Theatre Management,R25,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",6-20,3 years,Media and Design,Diploma in Arts and Theatre Management,https://www.rp.edu.sg/STA/full-time-diplomas/Details/r25
Arts Business Management,N91,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",6-13,3 years,Business and Management,Diploma in Arts Business Management,https://www.np.edu.sg/hms/Pages/abm.aspx
Automation and Mechatronic Systems,N50,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",6-19,3 years,Engineering,Diploma in Automation and Mechatronic Systems,https://www.np.edu.sg/soe/Pages/ams.aspx
Aviation Management,T04,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",6-14,3 years,Business and Management,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/eng/aviation-management
Aviation Management,R39,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",16-25,3 years,Business and Management,Diploma in Aviation Management,https://www.rp.edu.sg/SEG/full-time-diplomas/Details/r39
Banking and Finance,S76,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",6-12,3 years,Business and Management,Diploma in Banking and Finance,https://www.sp.edu.sg/sb/courses/full-time-diplomas/banking-finance
Banking and Finance,N53,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",5-11,3 years,Business and Management,This course offers the following tracks or specialisation:,https://www.np.edu.sg/ba/Pages/bf.aspx
Banking and Finance,C96,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",8-13,3 years,Business and Management,Diploma in Banking and Finance,https://www.nyp.edu.sg/schools/sbm/full-time-courses/banking-and-finance.html
Big Data and Analytics,T60,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",6-12,3 years,Information and Digital Technologies,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/iit/big-data-and-analytics
Biologics and Process Technology,C49,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",8-11,3 years,Applied Sciences,Diploma in Biologics and Process Technology,https://www.nyp.edu.sg/schools/sas/full-time-courses/biologics-and-process-technology.html
Biomedical Engineering,T38,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",6-13,3 years,Applied Sciences,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/eng/biomedical-engineering
Biomedical Engineering,N60,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",7-11,3 years,Engineering,Diploma in Biomedical Engineering,https://www.np.edu.sg/soe/Pages/bme.aspx
Biomedical Engineering,C71,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",8-13,3 years,Engineering,This course offers the following tracks or specialisation:,https://www.nyp.edu.sg/schools/seg/full-time-courses/biomedical-engineering.html
Biomedical Science,S98,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",3-7,3 years,Applied Sciences,This course offers the following tracks or specialisation:,https://www.sp.edu.sg/cls/courses/full-time-diplomas/biomedical-science
Biomedical Science,R14,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",8-11,3 years,Applied Sciences,This course offers the following tracks or specialisation:,https://www.rp.edu.sg/SAS/full-time-diplomas/Details/r14
Biomedical Science,N59,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",3-8,3 years,Applied Sciences,Diploma in Biomedical Science,https://www.np.edu.sg/lsct/Pages/bms.aspx
Biotechnology,R16,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",10-17,3 years,Applied Sciences,This course offers the following tracks or specialisation:,https://www.rp.edu.sg/SAS/full-time-diplomas/Details/r16
Business,T10,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",5-14,3 years,Business and Management,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/bus/business
Business,R60,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",15-21,3 years,Business and Management,This course offers the following tracks or specialisation:,https://www.rp.edu.sg/smc/full-time-diplomas/details/diploma-in-business
Business Administration,S71,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",4-12,3 years,Business and Management,This course offers the following tracks or specialisation:,https://www.sp.edu.sg/sb/courses/full-time-diplomas/business-administration
Business and Financial Technology,C35,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",10-15,3 years,Business and Management,Diploma in Business and Financial Technology,https://www.nyp.edu.sg/schools/sit/full-time-courses/business-and-financial-technology.html
Business Information Systems,R13,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",15-26,3 years,Information and Digital Technologies,Diploma in Business Information Systems,https://www.rp.edu.sg/soi/full-time-diplomas/details/diploma-in-business-information-systems
Business Management,C94,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",6-16,3 years,Business and Management,This course offers the following tracks or specialisation:,https://www.nyp.edu.sg/schools/sbm/full-time-courses/business-management.html
Business Process and Systems Engineering,T43,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",8-18,3 years,Business and Management,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/eng/business-process-and-systems-engineering
Business Studies,N45,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",3-8,3 years,Business and Management,This course offers the following tracks or specialisation:,https://www.np.edu.sg/ba/Pages/bs.aspx
Chemical and Biomolecular Engineering,N56,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",6-12,3 years,Applied Sciences,Diploma in Chemical and Biomolecular Engineering,https://www.np.edu.sg/lsct/Pages/cbe.aspx
Chemical and Pharmaceutical Technology,C73,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",8-14,3 years,Applied Sciences,Diploma in Chemical and Pharmaceutical Technology,https://www.nyp.edu.sg/schools/sas/full-time-courses/chemical-and-pharmaceutical-technology.html
Chemical Engineering,T33,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",6-15,3 years,Applied Sciences,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/asc/chemical-engineering
Chemical Engineering,S70,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",5-13,3 years,Applied Sciences,Diploma in Chemical Engineering,https://www.sp.edu.sg/cls/courses/full-time-diplomas/chemical-engineering
Chinese Media and Communication,N88,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",6-15,3 years,Media and Design,Diploma in Chinese Media and Communication,https://www.np.edu.sg/hms/Pages/cmc.aspx
Chinese Studies,N70,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",7-13,3 years,Humanities,This course offers the following tracks or specialisation:,https://www.np.edu.sg/hms/Pages/chs.aspx
Civil Engineering,S68,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",7-20,3 years,Built Environment,Diploma in Civil Engineering,https://www.sp.edu.sg/abe/courses/full-time-diplomas/civil-engineering
"Common Arts, Design and Media Programme",R65,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",-,3 years,Media and Design,Depends on the diploma course you choose to major in,https://www.rp.edu.sg/sta/full-time-course
Common Business Programme,T01,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",5-15,3 years,Business and Management,Depends on the diploma course you choose to major in,https://www.tp.edu.sg/schools/bus/common-business-programme
Common Business Programme,S31,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",4-12,3 years,Business and Management,Depends on the diploma course you choose to major in,https://www.sp.edu.sg/sb/courses/full-time-diplomas/common-business-programme
Common Business Programme,R57,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",13-26,3 years,Business and Management,Depends on the diploma course you choose to major in,https://www.rp.edu.sg/smc/full-time-diplomas/Details/r57
Common Business Programme,N97,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",5-12,3 years,Business and Management,Depends on the diploma course you choose to major in,https://www.np.edu.sg/ba/Pages/cbp.aspx
Common Business Programme,C34,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",5-15,3 years,Business and Management,Depends on the diploma course you choose to major in,https://www.nyp.edu.sg/schools/sbm/full-time-courses/common-business-programme.html
Common Design & Media Programme,C28,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",-,3 years,Media and Design,Depends on the diploma course you choose to major in,https://www.nyp.edu.sg/schools/sdm/full-time-courses/common-media-design-programme.html
Common Design Programme,T71,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",-,3 years,Media and Design,Depends on the diploma course you choose to major in,https://www.tp.edu.sg/schools-and-courses/students/schools/des/common-design-programme.html
Common Engineering Programme,T56,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",7-22,3 years,Engineering,Depends on the diploma course you choose to major in,https://www.tp.edu.sg/schools/eng/common-engineering-programme
Common Engineering Programme,S40,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",7-17,3 years,Engineering,Depends on the diploma course you choose to major in,https://www.sp.edu.sg/engineering-cluster/mae/courses/common-engineering-programme
Common Engineering Programme,R42,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",18-26,3 years,Engineering,Depends on the diploma course you are posted to after Semester 1 of your first year.,https://www.rp.edu.sg/SEG/full-time-diplomas/Details/r42
Common Engineering Programme,N71,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",6-26,3 years,Engineering,Depends on the diploma course you choose to major in,https://www.np.edu.sg/soe/Pages/cep.aspx
Common Engineering Programme,C42,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",5-24,3 years,Engineering,This course offers the following tracks or specialisation:,https://www.nyp.edu.sg/schools/seg/full-time-courses/common-engineering-programme.html
Common ICT Programme,T63,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",4-16,3 years,Information and Digital Technologies,Depends on the diploma course you choose to major in,https://www.tp.edu.sg/schools/iit/common-ict-programme
Common ICT Programme,S32,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",3-13,3 years,Information and Digital Technologies,Depends on the diploma course you choose to major in,https://www.sp.edu.sg/soc/courses/full-time-diplomas/common-infocomm-technology-programme
Common ICT Programme,R58,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",16-26,3 years,Information and Digital Technologies,Depends on the diploma course you choose to major in,https://www.rp.edu.sg/SOI/full-time-diplomas/Details/common-ict-programme
Common ICT Programme,N98,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",5-13,3 years,Information and Digital Technologies,Depends on the diploma course you choose to major in,https://www.np.edu.sg/ict/Pages/cictp.aspx
Common ICT Programme,C36,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",4-14,3 years,Information and Digital Technologies,Depends on the diploma course you choose to major in,https://www.nyp.edu.sg/schools/sit/full-time-courses/common-ict-programme.html
Common Media Programme,N14,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",-,3 years,Media and Design,Depends on the diploma course you choose to major in,https://www.np.edu.sg/fms/Pages/cmp.aspx
Common Science Programme,T70,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",-,3 years,Applied Sciences,Depends on the diploma course you choose to major in,https://www.tp.edu.sg/schools-and-courses/students/schools/asc/common-science-programme.html
Common Science Programme,S28,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",-,3 years,Applied Sciences,Depends on the diploma course you choose to major in,https://www.sp.edu.sg/cls/courses/full-time-diplomas/common-science-programme
Common Science Programme,R59,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",7-18,3 years,Applied Sciences,Depends on the diploma course you choose to major in,https://www.rp.edu.sg/SAS/full-time-diplomas/Details/common-science-programme
Common Science Programme,N15,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",-,3 years,Applied Sciences,Depends on the diploma course you choose to major in,https://www.np.edu.sg/lsct/Pages/csp.aspx
Common Science Programme,C27,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",-,3 years,Applied Sciences,Depends on the diploma course you choose to major in,https://www.nyp.edu.sg/schools/sas/full-time-courses/common-science-programme.html
Common Sports and Health Programme,R63,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",11-26,3 years,Health Sciences,Depends on the diploma course you choose to major in,https://www.rp.edu.sg/shl/full-time-diplomas/Details/common-sports-and-health-programme
Communication & Motion Design,C30,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",-,3 years,Media and Design,This course offers the following tracks or specialisation:,https://www.nyp.edu.sg/schools/sdm/full-time-courses/communication-and-motion-design.html
Communication Design,T59,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",6-15,3 years,Media and Design,Diploma in Communication Design,https://www.tp.edu.sg/schools/des/communication-design
Communications and Media Management,T40,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",3-13,3 years,Business and Management,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/bus/communications-and-media-management
Community Development,N11,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",3-13,3 years,Humanities,Diploma in Community Development,https://www.np.edu.sg/hms/Pages/cdt.aspx
Computer Engineering,T13,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",5-13,3 years,Engineering,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/eng/computer-engineering
Computer Engineering,S53,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",3-12,3 years,Engineering,This course offers the following tracks or specialisation:,https://www.sp.edu.sg/engineering-cluster/eee/courses/full-time-diplomas/computer-engineering
Consumer Behaviour and Research,R48,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",13-18,3 years,Business and Management,Diploma in Consumer Behaviour and Research,https://www.rp.edu.sg/smc/full-time-diplomas/Details/r48
Culinary and Catering Management,T18,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",5-17,3 years,Business and Management,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/bus/culinary-and-catering-management
Customer Experience Management with Business,R34,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",12-21,3 years,Business and Management,Diploma in Customer Experience Management with Business,https://www.rp.edu.sg/soh/full-time-diplomas/details/r34
Cybersecurity and Digital Forensics,T62,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",4-12,3 years,Information and Digital Technologies,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/iit/cybersecurity-and-digital-forensics
Cybersecurity and Digital Forensics,N94,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",5-8,3 years,Information and Digital Technologies,Diploma in Cybersecurity and Digital Forensics,https://www.np.edu.sg/ict/Pages/csf.aspx
Cybersecurity and Digital Forensics,C54,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",4-8,3 years,Information and Digital Technologies,This course offers the following tracks or specialisation:,https://www.nyp.edu.sg/schools/sit/full-time-courses/cybersecurity-and-digital-forensics.html
Data Science,N81,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",5-11,3 years,Information and Digital Technologies,Diploma in Data Science,https://www.np.edu.sg/ict/Pages/ds.aspx
Design,N12,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",6-15,3 years,Media and Design,This course offers the following tracks or specialisation:,https://www.np.edu.sg/de/Pages/des.aspx
Design for Games and Gamification,R35,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",12-17,3 years,Media and Design,Diploma in Design for Games and Gamification,https://www.rp.edu.sg/sta/full-time-diplomas/Details/diploma-in-design-for-games-and-gamification
Design for User Experience,R36,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",16-20,3 years,Media and Design,Diploma in Design for User Experience,https://www.rp.edu.sg/STA/full-time-diplomas/Details/r36
